#Linkers: 
#Core	Expansion
ABCA1 ADAM10 ADRA1A ADRA1B ADRA1D ADRA2A ADRA2C ADRB1 ADRB2 ADRB3 APBB1 APH1B APLP2 APOC2 APOE APP BACE1 BSG CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1F CACNA1G CACNA1H CACNA1I CACNA1S CACNA2D1 CACNA2D2 CACNA2D3 CACNA2D4 CACNB1 CACNB2 CACNB3 CACNB4 CACNG1 CACNG2 CACNG3 CACNG4 CACNG5 CACNG6 CACNG7 CACNG8 CAPN1 CAPN2 CAPNS1 CAST CD163 CDC25A CDC25B CDC25C CDK5 CDK5R1 CIB1 COL12A1 COL13A1 COL18A1 COL25A1 COL4A4 CRTC1 CTNND2 CYP24A1 DRD2 DRD3 DRD4 ESR1 ESR2 FOXO3 GLP1R GRIA1 GRIA2 GRIA4 GRIN1 GRIN2A GRIN2C GRIN2D GRIN3A GRIN3B HBEGF HNF4G HP HTR1A HTR2A HTR2C HTR6 ICAM5 JUN KCNIP3 LAMP1 MMP1 MMP7 MMP8 NCSTN NES NR2C1 PCSK9 PGR PLK2 PLTP PPARG PSEN1 PSEN2 PSENEN PTK2B RARA RARB RARG RXRA RXRG SCARB1 SETD7 SORL1 TMCC2 TMEM94 TRIP4 VDR	
CHGA SCG3	
IFNAR1 IFNAR2	
GABRA1 GABRA2 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRE GABRG1 GABRG2 GABRG3 GABRP PLCL1	
CYP46A1 DHCR24 SOAT1	
APBB3 APLP1	
LINGO1 MAG RTN4R	
G3BP1 MRPL39 MRPL58 TARDBP USP10	
ACHE BCHE CHAT COLQ DNAJC5 SLC17A7 SLC18A2 SLC18A3 SLC44A5 SLC5A7 SNAP25 SYT1 SYT4 VAMP1	
INA NEFH NEFM PRPH	
GATB NARS2	
ACE ACE2 AGTR2 MME REN	
AOX1 CYP26B1 HSD17B12 KL UGT1A10 UGT1A8	
TNFRSF6B TNFSF15	
GABBR1 GABBR2	
POU3F2 POU3F3 SOX11	
C4A CFH CFI CR1	
DBH HNMT IDO1 MAOB PNMT	
HMGCR INSIG1 PGRMC1	
CADM2 HMCN1	
CD320 TCN2	
AHCYL1 CBS	
CHRNA4 CHRNA5 CHRNA6 CHRNA7 CHRNB2 VSNL1	
PRDX1 PRDX2 SESN2	
ECD NR3C1 RETN	
CA4 SLC4A3	
CRBN CUL4A DDB1	
CD200 CD200R1	
CPOX PPOX	
EDA EDAR	
APBA2 CLSTN1 NECAB3 NLGN1 NLGN2 NRXN1 NRXN3 NXPH1 SYT13	
ABCA2 ABCA7	
ALOX5 ALOX5AP	
BIN1 PICALM	
NOS1AP SYN1	
ARIH1 UBE2E2	
ANK3 SCN10A SCN1A SCN2A SCN3A SCN5A SCN8A SCN9A	
RTN1 RTN3 SPAST	
ATP4A ATP4B	
ATP6V0E2 TF	
ALOX12 CP HAMP HPGDS MPO PTGES PTGS1 PTGS2 SLC11A2 SLC40A1 TBXAS1	
MT-ND1 MT-ND2	
CDH13 CDH6 CDH7 CDH8	
DYRK1B PAH PCBD1	
ANG RNASE2 RNH1	
KLK1 SERPINA4	
KLK4 SERPINA3	
DBI TSPO	
MMACHC MTRR	
ACO1 ALDH5A1	
SIK1 STRADA	
ATP7B CLU F13A1 PON1 TRPM2	
CCDC88A DISC1	
PDE3A PDE5A	
CARD8 NLRP3	
CADM1 NECTIN2	
GOLGA2 RAB1A	
CRHR1 UCN3	
LOX LOXL1	
MAN1C1 MAN2A1 MGAT1	
UCP1 UCP2 UCP3	
SLC6A2 SLC6A4	
CD55 FAM3C	
ARPP19 ENSA	
CCS SLC31A1	
LMNA LMNB1	
HSPB7 HSPB8	
KCNN2 KCNN3	
IL1R2 IL1RN	
DLX5 MSX2	
MPZ MPZL1	
MCOLN1 STEAP3	
